family,year,points,unique_materials,unique_papers,experimental_points,theoretical_points,max_tc_k,prev3_avg_points,burst_score,burst_candidate
hydride,2018,11,4,4,1,10,250,13,0.8571428571428571,false
hydride,2019,18,8,9,8,10,249,10.333333333333334,1.676470588235294,false
hydride,2020,17,12,10,6,11,249.8,15.333333333333334,1.1020408163265305,false
hydride,2021,30,22,11,1,29,249,15.333333333333334,1.897959183673469,false
hydride,2022,24,14,10,6,18,217.65,21.666666666666668,1.102941176470588,false
hydride,2023,60,42,19,5,55,250,23.666666666666668,2.472972972972973,false
hydride,2024,55,47,10,4,51,246,38,1.435897435897436,false
hydride,2025,79,62,16,6,73,246,46.333333333333336,1.6901408450704225,false
hydride,2026,9,9,8,2,7,183,64.66666666666667,0.15228426395939085,false
mgb2,2001,15,11,8,12,3,41,0,16,false
mgb2,2002,34,25,12,26,8,38.4,5,5.833333333333333,true
mgb2,2003,33,28,12,27,6,40.36,16.333333333333332,1.9615384615384617,false
mgb2,2004,18,12,10,11,7,37.5,27.333333333333332,0.6705882352941177,false
mgb2,2005,9,9,2,6,3,35.7,28.333333333333332,0.34090909090909094,false
mgb2,2006,20,16,6,18,2,36.6,20,1,false
mgb2,2007,8,3,5,7,1,39,15.666666666666666,0.54,false
mgb2,2008,1,1,1,1,0,8.5,12.333333333333334,0.15,false
mgb2,2009,4,4,3,4,0,38.9,9.666666666666666,0.46875,false
mgb2,2011,1,1,1,1,0,37,1.6666666666666667,0.7499999999999999,false
mgb2,2012,1,1,1,0,1,20,1.6666666666666667,0.7499999999999999,false
mgb2,2015,1,1,1,1,0,21.5,0.3333333333333333,1.5,false
mgb2,2021,2,2,1,0,2,22.2,0,3,false
mgb2,2022,2,1,1,0,2,15.4,0.6666666666666666,1.8000000000000003,false
mgb2,2023,2,1,1,2,0,27.8,1.3333333333333333,1.2857142857142858,false
heavy_fermion,1996,1,1,1,1,0,1.2,0,2,false
heavy_fermion,1997,3,1,2,2,1,0.55,0.3333333333333333,3,false
heavy_fermion,1998,4,2,3,3,1,6.3,1.3333333333333333,2.1428571428571432,false
heavy_fermion,1999,12,7,8,7,5,6.4,2.6666666666666665,3.5454545454545454,false
heavy_fermion,2000,22,14,12,19,3,7.6,6.333333333333333,3.1363636363636367,true
heavy_fermion,2001,23,9,13,13,10,7.6,12.666666666666666,1.7560975609756098,false
heavy_fermion,2002,41,24,18,34,7,2.8,19,2.1,false
heavy_fermion,2003,42,20,22,24,18,24,28.666666666666668,1.449438202247191,false
heavy_fermion,2004,40,19,18,25,15,18.5,35.333333333333336,1.128440366972477,false
heavy_fermion,2005,12,9,9,5,7,18.5,41,0.30952380952380953,false
heavy_fermion,2006,8,8,4,7,1,2.4,31.333333333333332,0.2783505154639176,false
heavy_fermion,2007,30,9,14,25,5,18.25,20,1.4761904761904763,false
heavy_fermion,2008,25,11,10,23,2,1.87,16.666666666666668,1.471698113207547,false
heavy_fermion,2009,31,6,9,17,14,2.3,21,1.4545454545454546,false
heavy_fermion,2010,10,5,8,7,3,18.5,28.666666666666668,0.37078651685393255,false
heavy_fermion,2011,15,8,6,12,3,4.2,22,0.6956521739130435,false
heavy_fermion,2012,18,11,10,17,1,8.1,18.666666666666668,0.9661016949152542,false
heavy_fermion,2013,25,12,10,24,1,6.28,14.333333333333334,1.6956521739130435,false
heavy_fermion,2014,28,16,14,24,4,18.1,19.333333333333332,1.4262295081967213,false
heavy_fermion,2015,20,15,9,19,1,6.7,23.666666666666668,0.8513513513513513,false
heavy_fermion,2016,6,3,4,6,0,0.88,24.333333333333332,0.27631578947368424,false
heavy_fermion,2017,13,9,10,12,1,18.7,18,0.7368421052631579,false
heavy_fermion,2018,11,11,5,10,1,2.18,13,0.8571428571428571,false
heavy_fermion,2019,11,9,5,10,1,8.22,10,1.0909090909090908,false
heavy_fermion,2020,6,6,6,5,1,3.3,11.666666666666666,0.5526315789473685,false
heavy_fermion,2021,7,4,5,5,2,6.1,9.333333333333334,0.7741935483870968,false
heavy_fermion,2022,6,3,5,6,0,4.68,8,0.7777777777777778,false
heavy_fermion,2023,1,1,1,0,1,5,6.333333333333333,0.27272727272727276,false
heavy_fermion,2024,5,3,5,4,1,4,4.666666666666667,1.0588235294117647,false
heavy_fermion,2025,3,2,3,3,0,0.55,4,0.8,false
heavy_fermion,2026,5,3,3,5,0,2,3,1.5,false
fulleride,1996,2,2,1,0,2,40,0,3,false
fulleride,1998,1,1,1,0,1,20,0.6666666666666666,1.2000000000000002,false
fulleride,1999,1,1,1,0,1,30,1,1,false
fulleride,2000,3,3,2,1,2,30,0.6666666666666666,2.4000000000000004,false
fulleride,2001,19,12,6,1,18,175,1.6666666666666667,7.499999999999999,false
fulleride,2002,12,6,4,4,8,117,7.666666666666667,1.4999999999999998,false
fulleride,2003,6,6,3,2,4,40,11.333333333333334,0.5675675675675675,false
fulleride,2004,3,3,2,2,1,40,12.333333333333334,0.3,false
fulleride,2006,1,1,1,1,0,12,3,0.5,false
fulleride,2008,9,1,1,0,9,33.2,0.3333333333333333,7.5,false
fulleride,2012,4,1,1,4,0,35.6,0,5,false
fulleride,2019,3,2,2,3,0,45,0,4,false
fulleride,2022,5,3,3,5,0,28.5,1,3,false
fulleride,2023,6,3,3,1,5,42.5,1.6666666666666667,2.6249999999999996,false
kagome,2011,4,1,1,4,0,7.9,0,5,false
kagome,2020,3,3,3,2,1,7,0,4,false
kagome,2021,30,3,15,28,2,8.9,1,15.5,true
kagome,2022,22,4,11,18,4,8,11,1.9166666666666667,false
kagome,2023,17,4,12,14,3,15,18.333333333333332,0.9310344827586208,false
kagome,2024,22,3,9,20,2,8,23,0.9583333333333334,false
kagome,2025,14,8,8,10,4,5.2,20.333333333333332,0.703125,false
kagome,2026,1,1,1,1,0,0.3,17.666666666666668,0.10714285714285714,false
organic,1997,1,1,1,1,0,1,0,2,false
organic,1998,2,2,2,0,2,10,0.3333333333333333,2.25,false
organic,1999,5,5,4,4,1,11.6,1,3,false
organic,2000,12,10,9,7,5,13.1,2.6666666666666665,3.5454545454545454,false
organic,2001,21,11,11,18,3,12.8,6.333333333333333,3,true
organic,2002,12,8,8,7,5,10.4,12.666666666666666,0.951219512195122,false
organic,2003,23,14,9,14,9,13,15,1.5,false
organic,2004,6,5,5,5,1,5.5,18.666666666666668,0.3559322033898305,false
organic,2005,3,2,2,3,0,10,13.666666666666666,0.27272727272727276,false
organic,2006,1,1,1,0,1,11.9,10.666666666666666,0.17142857142857143,false
organic,2007,4,4,3,4,0,12.25,3.3333333333333335,1.1538461538461537,false
organic,2008,7,4,5,7,0,13,2.6666666666666665,2.181818181818182,false
organic,2009,5,4,3,3,2,13,4,1.2,false
organic,2010,2,2,2,2,0,11.3,5.333333333333333,0.4736842105263158,false
organic,2011,12,4,3,10,2,6.2,4.666666666666667,2.2941176470588234,false
organic,2012,3,2,1,3,0,7.6,6.333333333333333,0.5454545454545455,false
organic,2013,5,5,2,5,0,10,5.666666666666667,0.8999999999999999,false
organic,2014,5,2,2,5,0,12,6.666666666666667,0.7826086956521738,false
organic,2015,2,2,1,2,0,11.5,4.333333333333333,0.5625,false
organic,2017,1,1,1,1,0,1.3,2.3333333333333335,0.6,false
organic,2018,1,1,1,0,1,1,1,1,false
organic,2019,11,10,2,10,1,7.2,0.6666666666666666,7.200000000000001,false
organic,2020,2,1,1,2,0,6.9,4.333333333333333,0.5625,false
organic,2021,7,4,4,6,1,50,4.666666666666667,1.4117647058823528,false
organic,2022,5,4,4,4,1,9.1,6.666666666666667,0.7826086956521738,false
organic,2023,2,2,2,2,0,12.2,4.666666666666667,0.5294117647058824,false
organic,2025,1,1,1,1,0,11,2.3333333333333335,0.6,false
bismuthate,1996,1,1,1,1,0,30,0,2,false
bismuthate,1997,1,1,1,1,0,24.5,0.3333333333333333,1.5,false
bismuthate,1998,3,2,1,1,2,32,0.6666666666666666,2.4000000000000004,false
bismuthate,1999,7,4,5,5,2,32,1.6666666666666667,2.9999999999999996,false
bismuthate,2000,7,6,5,6,1,31,3.6666666666666665,1.7142857142857144,false
bismuthate,2001,6,5,5,6,0,31,5.666666666666667,1.05,false
bismuthate,2002,6,6,3,4,2,32,6.666666666666667,0.9130434782608695,false
bismuthate,2003,5,3,2,3,2,35,6.333333333333333,0.8181818181818182,false
bismuthate,2004,3,2,3,1,2,32,5.666666666666667,0.6,false
bismuthate,2005,1,1,1,1,0,32.4,4.666666666666667,0.3529411764705882,false
bismuthate,2006,6,2,1,6,0,32,3,1.75,false
bismuthate,2010,1,1,1,1,0,31,0,2,false
bismuthate,2012,3,1,1,3,0,5.2,0.3333333333333333,3,false
bismuthate,2013,27,11,10,20,7,7.6,1.3333333333333333,12.000000000000002,true
bismuthate,2014,45,30,19,42,3,32,10,4.181818181818182,true
bismuthate,2015,29,19,9,26,3,9.7,25,1.1538461538461537,false
bismuthate,2016,1,1,1,0,1,5,33.666666666666664,0.057692307692307696,false
bismuthate,2017,15,6,6,15,0,32,25,0.6153846153846154,false
bismuthate,2018,4,3,2,4,0,22,15,0.3125,false
bismuthate,2019,5,2,2,5,0,29.5,6.666666666666667,0.7826086956521738,false
bismuthate,2020,4,2,2,4,0,10.4,8,0.5555555555555556,false
bismuthate,2021,2,2,1,2,0,5.1,4.333333333333333,0.5625,false
bismuthate,2022,1,1,1,1,0,11,3.6666666666666665,0.4285714285714286,false
bismuthate,2024,1,1,1,1,0,4.25,1,1,false
borocarbide,1995,1,1,1,1,0,8,0,2,false
borocarbide,1997,2,2,1,2,0,16.5,0.3333333333333333,2.25,false
borocarbide,1998,3,1,2,2,1,16.7,1,2,false
borocarbide,1999,11,3,9,8,3,16.7,1.6666666666666667,4.499999999999999,false
borocarbide,2000,6,3,4,5,1,16,5.333333333333333,1.105263157894737,false
borocarbide,2001,12,4,8,7,5,16.6,6.666666666666667,1.6956521739130435,false
borocarbide,2002,5,2,4,5,0,16.5,9.666666666666666,0.5625,false
borocarbide,2003,11,3,5,8,3,16.5,7.666666666666667,1.3846153846153844,false
borocarbide,2004,9,4,7,2,7,16.9,9.333333333333334,0.9677419354838709,false
borocarbide,2005,4,3,3,2,2,16.9,8.333333333333334,0.5357142857142857,false
borocarbide,2006,3,1,2,2,1,15.9,8,0.4444444444444444,false
borocarbide,2007,4,3,2,4,0,16.2,5.333333333333333,0.7894736842105263,false
borocarbide,2008,10,6,6,9,1,16.1,3.6666666666666665,2.3571428571428577,false
borocarbide,2010,1,1,1,1,0,15.9,4.666666666666667,0.3529411764705882,false
borocarbide,2011,2,2,2,2,0,15.5,3.6666666666666665,0.6428571428571429,false
borocarbide,2012,4,1,1,4,0,11.17,1,2.5,false
borocarbide,2014,4,4,2,1,3,17.8,2,1.6666666666666667,false
borocarbide,2015,2,1,1,1,1,9.9,2.6666666666666665,0.8181818181818182,false
borocarbide,2017,6,3,4,6,0,16.6,2,2.3333333333333335,false
borocarbide,2023,1,1,1,0,1,0.4,0,2,false
borocarbide,2024,2,2,1,0,2,16.4,0.3333333333333333,2.25,false
ruthenate,1997,1,1,1,1,0,1,0,2,false
ruthenate,2000,1,1,1,0,1,1.5,0.3333333333333333,1.5,false
ruthenate,2003,1,1,1,1,0,3,0.3333333333333333,1.5,false
ruthenate,2004,3,1,1,3,0,3,0.3333333333333333,3,false
ruthenate,2006,2,1,1,2,0,1.32,1.3333333333333333,1.2857142857142858,false
ruthenate,2007,2,2,1,2,0,1.39,1.6666666666666667,1.1249999999999998,false
ruthenate,2008,1,1,1,1,0,3,1.3333333333333333,0.8571428571428572,false
ruthenate,2009,4,1,2,4,0,3.5,1.6666666666666667,1.8749999999999998,false
ruthenate,2019,1,1,1,0,1,1.1,0,2,false
chalcogenide,1997,1,1,1,1,0,7,0,2,false
chalcogenide,1998,3,1,3,2,1,7.2,0.3333333333333333,3,false
chalcogenide,1999,2,2,1,2,0,7.3,1.3333333333333333,1.2857142857142858,false
chalcogenide,2000,3,3,2,0,3,7.2,2,1.3333333333333333,false
chalcogenide,2001,11,7,7,6,5,19,2.6666666666666665,3.272727272727273,false
chalcogenide,2002,2,1,2,2,0,7,5.333333333333333,0.4736842105263158,false
chalcogenide,2003,7,4,5,7,0,15,5.333333333333333,1.2631578947368423,false
chalcogenide,2004,15,9,5,14,1,9.1,6.666666666666667,2.0869565217391304,false
chalcogenide,2005,5,4,2,5,0,5.8,8,0.6666666666666666,false
chalcogenide,2006,9,5,5,8,1,9,9,1,false
chalcogenide,2007,10,9,4,10,0,7,9.666666666666666,1.03125,false
chalcogenide,2008,11,8,7,9,2,7.3,8,1.3333333333333333,false
chalcogenide,2009,2,2,2,1,1,3.8,10,0.2727272727272727,false
chalcogenide,2010,7,6,6,7,0,7.15,7.666666666666667,0.9230769230769229,false
chalcogenide,2011,21,12,11,18,3,6.8,6.666666666666667,2.869565217391304,false
chalcogenide,2012,19,13,14,11,8,80,10,1.8181818181818181,false
chalcogenide,2013,54,29,24,46,8,10.7,15.666666666666666,3.3000000000000003,true
chalcogenide,2014,40,22,21,37,3,11.5,31.333333333333332,1.2680412371134022,false
chalcogenide,2015,46,33,33,41,5,8.6,37.666666666666664,1.2155172413793105,false
chalcogenide,2016,44,31,25,37,7,10,46.666666666666664,0.9440559440559441,false
chalcogenide,2017,63,38,32,51,12,80,43.333333333333336,1.443609022556391,false
chalcogenide,2018,40,29,24,35,5,9.5,51,0.7884615384615384,false
chalcogenide,2019,49,31,35,41,8,11,49,1,false
chalcogenide,2020,34,28,20,31,3,8.5,50.666666666666664,0.6774193548387097,false
chalcogenide,2021,54,35,32,49,5,8.8,41,1.3095238095238095,false
chalcogenide,2022,59,41,36,53,6,13.3,45.666666666666664,1.2857142857142858,false
chalcogenide,2023,51,25,27,45,6,11.6,49,1.04,false
chalcogenide,2024,53,36,29,37,16,18.2,54.666666666666664,0.9700598802395209,false
chalcogenide,2025,37,19,22,30,7,11,54.333333333333336,0.6867469879518072,false
chalcogenide,2026,46,21,19,41,5,16.3,47,0.9791666666666666,false
elemental,1996,3,3,2,1,2,9.26,0,4,false
elemental,1997,6,5,5,6,0,9,1,3.5,false
elemental,1998,8,2,5,8,0,9.23,3,2.25,false
elemental,1999,13,5,12,12,1,9.2,5.666666666666667,2.1,false
elemental,2000,24,9,19,18,6,9.5,9,2.5,false
elemental,2001,35,8,20,28,7,12,15,2.25,false
elemental,2002,27,9,17,14,13,17,24,1.12,false
elemental,2003,22,8,19,17,5,9.5,28.666666666666668,0.7752808988764045,false
elemental,2004,41,10,31,31,10,9.15,28,1.4482758620689655,false
elemental,2005,24,7,15,22,2,9.2,30,0.8064516129032258,false
elemental,2006,22,5,13,21,1,9.4,29,0.7666666666666667,false
elemental,2007,28,5,17,28,0,9.5,29,0.9666666666666667,false
elemental,2008,24,6,18,23,1,9.3,24.666666666666668,0.974025974025974,false
elemental,2009,26,7,18,24,2,8.9,24.666666666666668,1.051948051948052,false
elemental,2010,27,12,15,11,16,9.2,26,1.037037037037037,false
elemental,2011,25,6,20,22,3,9.26,25.666666666666668,0.975,false
elemental,2012,20,3,14,17,3,9.2,26,0.7777777777777778,false
elemental,2013,26,5,18,22,4,9.2,24,1.08,false
elemental,2014,45,10,29,41,4,9.9,23.666666666666668,1.8648648648648647,false
elemental,2015,28,8,20,23,5,9.25,30.333333333333332,0.9255319148936171,false
elemental,2016,24,7,13,22,2,9.2,33,0.7352941176470589,false
elemental,2017,55,7,24,34,21,9.25,32.333333333333336,1.68,false
elemental,2018,20,7,18,17,3,47,35.666666666666664,0.5727272727272728,false
elemental,2019,53,12,29,38,15,9.6,33,1.588235294117647,false
elemental,2020,31,8,21,28,3,9.1,42.666666666666664,0.732824427480916,false
elemental,2021,32,7,21,25,7,9.5,34.666666666666664,0.9252336448598132,false
elemental,2022,36,9,20,23,13,14.2,38.666666666666664,0.9327731092436975,false
elemental,2023,31,9,22,22,9,12.4,33,0.9411764705882353,false
elemental,2024,45,12,27,37,8,9.25,33,1.3529411764705883,false
elemental,2025,26,7,13,21,5,9.5,37.333333333333336,0.7043478260869565,false
elemental,2026,23,8,9,17,6,9.42,34,0.6857142857142857,false
conventional,1997,4,4,3,2,2,23,0,5,false
conventional,1998,2,2,2,0,2,23,1.3333333333333333,1.2857142857142858,false
conventional,1999,4,3,4,3,1,8.5,2,1.6666666666666667,false
conventional,2000,7,5,5,5,2,23,3.3333333333333335,1.8461538461538458,false
conventional,2001,29,12,23,16,13,14.7,4.333333333333333,5.625,true
conventional,2002,29,17,18,15,14,23,13.333333333333334,2.093023255813953,false
conventional,2003,27,17,14,17,10,23,21.666666666666668,1.2352941176470587,false
conventional,2004,36,16,26,23,13,18,28.333333333333332,1.2613636363636365,false
conventional,2005,33,13,18,23,10,16.5,30.666666666666668,1.0736842105263158,false
conventional,2006,36,12,17,33,3,17.9,32,1.121212121212121,false
conventional,2007,26,10,14,19,7,15,35,0.75,false
conventional,2008,32,17,17,30,2,15.5,31.666666666666668,1.010204081632653,false
conventional,2009,26,7,13,18,8,20.4,31.333333333333332,0.8350515463917527,false
conventional,2010,22,11,13,18,4,18.1,28,0.7931034482758621,false
conventional,2011,29,15,15,28,1,16.8,26.666666666666668,1.0843373493975903,false
conventional,2012,65,13,29,57,8,25.2,25.666666666666668,2.475,false
conventional,2013,41,12,21,38,3,18.35,38.666666666666664,1.0588235294117647,false
conventional,2014,36,15,21,34,2,13,45,0.8043478260869565,false
conventional,2015,47,18,16,45,2,18,47.333333333333336,0.993103448275862,false
conventional,2016,13,6,7,12,1,17.06,41.333333333333336,0.3307086614173228,false
conventional,2017,22,7,12,17,5,21.1,32,0.696969696969697,false
conventional,2018,32,10,17,26,6,18.2,27.333333333333332,1.1647058823529413,false
conventional,2019,21,13,16,18,3,16.8,22.333333333333332,0.942857142857143,false
conventional,2020,35,9,15,30,5,19,25,1.3846153846153846,false
conventional,2021,57,32,34,39,18,27,29.333333333333332,1.9120879120879122,false
conventional,2022,62,14,25,51,11,17.6,37.666666666666664,1.6293103448275863,false
conventional,2023,43,20,28,30,13,26,51.333333333333336,0.840764331210191,false
conventional,2024,53,24,26,33,20,26,54,0.9818181818181818,false
conventional,2025,55,34,31,29,26,26.2,52.666666666666664,1.0434782608695652,false
conventional,2026,48,24,20,32,16,20.5,50.333333333333336,0.9545454545454545,false
