material,formula_latex,family,tc_kelvin,year,pressure_gpa,paper_id,is_theoretical
YBa2Cu3O6.6,,cuprate,63,1997,0,arxiv:cond-mat/9712326,false
YBa2Cu3O6.6,,cuprate,62.7,1997,0,arxiv:cond-mat/9707112,false
YBa2Cu3O7-δ,,cuprate,62,1997,0,arxiv:cond-mat/9710139,false
TmBa2Cu3O6.6,,cuprate,61,1997,0,arxiv:cond-mat/9712035,false
YBa2Cu3O7-δ,,cuprate,61,1997,0,arxiv:cond-mat/9703126,false
YBa2Cu3O7-δ,,cuprate,60.8,1997,0,arxiv:cond-mat/9703126,false
YBa2Cu3O7-δ,,cuprate,60,1997,0,arxiv:cond-mat/9701074,false
YBa2(Cu0.975Zn0.025)3O7-y,,cuprate,59.5,1997,0,arxiv:cond-mat/9710213,false
YBa2Cu3O6.60,,cuprate,59,1997,0,arxiv:cond-mat/9708115,false
YBa2Cu3O7-δ,,cuprate,56,1997,0,arxiv:cond-mat/9703126,false
TmBa2Cu3O6.51,,cuprate,53,1997,0,arxiv:cond-mat/9712035,false
YBa2Cu3O6.6,,cuprate,53,1997,0,arxiv:cond-mat/9702117,false
YBa2Cu3O6.5,,cuprate,52,1997,0,arxiv:cond-mat/9704073,false
YBa2Cu3O7-δ,,cuprate,52,1997,0,arxiv:cond-mat/9704022,false
La2-xSrxCuO4,,cuprate,49,1997,,arxiv:cond-mat/9701208,true
Y1-xCaxSrBaCu2.6Al0.4O6+z,,cuprate,47,1997,0,arxiv:cond-mat/9703100,true
La2-xSrxCuO4,,cuprate,38,1997,0,arxiv:cond-mat/9701208,true
La1.85Sr0.15CuO4,,cuprate,37,1997,0,arxiv:cond-mat/9702117,false
CuO2,,Other,37,1997,0,arxiv:cond-mat/9711151,true
La1.86Sr0.14CuO4,,cuprate,36,1997,0,arxiv:cond-mat/9706145,false
La2CuO4+δ2,,cuprate,34,1997,0,arxiv:cond-mat/9705156,true
La1.78Sr0.22CuO4,,cuprate,32,1997,0,arxiv:cond-mat/9706145,false
La1.8Sr0.2CuO4,,cuprate,32,1997,0,arxiv:cond-mat/9710253,false
YBa2Cu3O7-δ,,cuprate,32,1997,0,arxiv:cond-mat/9711127,false
La1.48Nd0.4Sr0.12CuO4,,cuprate,30,1997,0,arxiv:cond-mat/9709325,false
YBa2(Cu0.953Zn0.047)3O7-y,,cuprate,30,1997,0,arxiv:cond-mat/9710213,false
Bi2Sr2-xLaxCuO6+δ,,cuprate,29,1997,0,arxiv:cond-mat/9705304,false
Y1-xCaxSrBaCu2.6Al0.4O6+z,,cuprate,29,1997,0,arxiv:cond-mat/9703100,true
La2-xSrxCuO4,,cuprate,28,1997,0,arxiv:cond-mat/9710155,false
Ba1-xKxBiO3,,bismuthate,24.5,1997,0,arxiv:cond-mat/9710189,false
Nd1.85Ce0.15CuO4,,cuprate,23,1997,0,arxiv:cond-mat/9711194,true
Nb3Ge,,conventional,23,1997,0,arxiv:cond-mat/9706032,true
La2-xSrxCuO4,,cuprate,19,1997,0,arxiv:cond-mat/9710155,false
YBa2Cu3O7-δ,,cuprate,18.5,1997,0,arxiv:cond-mat/9711127,false
V3Si,,conventional,17,1997,0,arxiv:cond-mat/9706032,true
LuNi2B2C,,borocarbide,16.5,1997,0,arxiv:cond-mat/9712174,false
NbN,,conventional,16.5,1997,0,arxiv:cond-mat/9703185,false
YNi2B2C,,borocarbide,15.7,1997,0,arxiv:cond-mat/9712174,false
Bi2Sr2-xLaxCuOy,,cuprate,13,1997,0,arxiv:cond-mat/9710155,false
κ–ET2Cu[N(CN)2]Cl,,Other,12.8,1997,0.027,arxiv:cond-mat/9706010,true
κ–ET2Cu[N(CN)2]Br,,Other,11.6,1997,0,arxiv:cond-mat/9706010,true
Bi2Sr2CuO6+δ,,cuprate,9.6,1997,0,arxiv:cond-mat/9710188,false
Nb,,elemental,9,1997,0,arxiv:cond-mat/9707071,false
Nb,,elemental,8,1997,0,arxiv:cond-mat/9708162,false
Bi2Sr2-xLaxCuO6+δ,,cuprate,8,1997,0,arxiv:cond-mat/9705304,false
NbSe2,,chalcogenide,7,1997,0,arxiv:cond-mat/9708117,false
Bismuth,,elemental,6,1997,0,arxiv:cond-mat/9710189,false
Lanthanum,,elemental,5.9,1997,0,arxiv:cond-mat/9710189,false
Cd47Sb53,,Other,4.5,1997,0,arxiv:cond-mat/9709017,false
La2-xSrxCuO4,,cuprate,3.8,1997,0,arxiv:cond-mat/9705138,false
Cd47Sb53,,Other,3.8,1997,0,arxiv:cond-mat/9709017,false
In,,elemental,3.35,1997,0,arxiv:cond-mat/9710140,false
Hg-Xealloy,,Other,3.04,1997,0,arxiv:cond-mat/9711127,false
In–O,,Other,2,1997,0,arxiv:cond-mat/9709017,false
Al,,elemental,1.7,1997,0,arxiv:cond-mat/9706179,false
Nb3Si,,conventional,1.5,1997,0,arxiv:cond-mat/9707071,false
In+400ppmMn,,Other,1.15,1997,0,arxiv:cond-mat/9710140,false
SrRuO4,,ruthenate,1,1997,0,arxiv:cond-mat/9707017,false
(TMTSF)2ClO4,,organic,1,1997,0,arxiv:cond-mat/9706019,false
UPt3,,heavy_fermion,0.55,1997,0,arxiv:cond-mat/9702089,false
UPt3,,heavy_fermion,0.5,1997,0,arxiv:cond-mat/9706199,true
UPt3,,heavy_fermion,0.48,1997,0,arxiv:cond-mat/9702089,false
La2-xSrxCuO4,,cuprate,0.4,1997,0,arxiv:cond-mat/9705138,false
AuIn2,,Other,0.207,1997,0,arxiv:cond-mat/9706111,true
Bi2Sr2Ca(NixCu1-x)208,,Other,0.2,1997,0,arxiv:cond-mat/9709061,true
Bi2212withNiimpurities,,cuprate,0.2,1997,0,arxiv:cond-mat/9710323,true
TlBa2Ca2Cu3O9,,cuprate,116,1998,0,arxiv:cond-mat/9812082,false
YBa2Cu3O7-δ,,cuprate,110,1998,0,arxiv:cond-mat/9804088,true
Bi1.7Pb0.2Sb0.1Sr2Ca2Cu3OY,,cuprate,108,1998,0,arxiv:cond-mat/9808126,false
Bi1.5Pb0.3Sb0.2Sr2Ca2Cu3OY,,cuprate,106.5,1998,0,arxiv:cond-mat/9808126,false
HgBa2CuO4+δ,,cuprate,95.6,1998,0,arxiv:cond-mat/9812082,false
"(Hg,Cu)Ba2CuO4+d",,cuprate,95,1998,0,arxiv:cond-mat/9803312,false
HgBa2CuO4.1,,cuprate,94.1,1998,0,arxiv:cond-mat/9812081,true
"(Hg,Cu)Ba2CuO4+d",,cuprate,94,1998,0,arxiv:cond-mat/9803312,false
YBa2Cu3O6.92,,cuprate,93.78,1998,0,arxiv:cond-mat/9803292,false
YBa2Cu3O6.9,,cuprate,93.6,1998,0,arxiv:cond-mat/9810323,false
YBa2Cu3O7-δ,,cuprate,93.5,1998,0,arxiv:cond-mat/9811106,false
YBa2Cu3O6.95,,cuprate,93.2,1998,0,arxiv:cond-mat/9806064,false
YBa2Cu3O7-δ,,cuprate,93,1998,0,arxiv:cond-mat/9812047,false
YBa2Cu3O6.95,,cuprate,93,1998,0,arxiv:cond-mat/9812234,false
YBa2Cu3O7-δ,,cuprate,92.2,1998,0,arxiv:cond-mat/9806052,false
YBa2Cu3O7-δ,,cuprate,92,1998,0,arxiv:cond-mat/9801244,false
YBa2Cu3O7-δ,,cuprate,92,1998,0,arxiv:cond-mat/9807185,true
YBa2Cu2.99Cr0.01OY,,cuprate,91.85,1998,0,arxiv:cond-mat/9808126,false
YBa2Cu3O6.95,,cuprate,91.8,1998,0,arxiv:cond-mat/9808231,false
YBa2Cu3O7-δ,,cuprate,91.7,1998,0,arxiv:cond-mat/9812081,true
YBaCuO,,cuprate,91.6,1998,0,arxiv:cond-mat/9805105,false
YBa2Cu3O7-δ,,cuprate,91.5,1998,0,arxiv:cond-mat/9812082,false
YBa2Cu3O6.95,,cuprate,91.4,1998,0,arxiv:cond-mat/9812285,false
YBa2Cu2.995Fe0.005OY,,cuprate,91.3,1998,0,arxiv:cond-mat/9808126,false
YBa2Cu2.99Al0.01OY,,cuprate,91.25,1998,0,arxiv:cond-mat/9808126,false
Bi2Sr2CaCu2Oy,,cuprate,91,1998,0,arxiv:cond-mat/9812354,false
YBa2Cu3O7-δ,,cuprate,91,1998,0,arxiv:cond-mat/9806336,false
YBa2Cu3O7-δ,,cuprate,90.5,1998,0,arxiv:cond-mat/9809295,true
YBa2Cu3O6+x,,cuprate,90,1998,0,arxiv:cond-mat/9810187,false
YBa2Cu3O(7-x),,cuprate,90,1998,0,arxiv:cond-mat/9812079,true
PrBa2Cu3O7,,cuprate,90,1998,0,arxiv:cond-mat/9805225,true
YBa2Cu3O7-δ,,cuprate,90,1998,0,arxiv:cond-mat/9801166,false
YBa2Cu3O7-δ,,cuprate,90,1998,0,arxiv:cond-mat/9803361,true
GdBa2Cu3O6.5,,cuprate,89.4,1998,0,arxiv:cond-mat/9803056,false
YBa2(Cu0.994Zn0.006)3O6.9,,cuprate,89.2,1998,0,arxiv:cond-mat/9810323,false
YBaCuO,,cuprate,89,1998,0,arxiv:cond-mat/9805105,false
YBa2Cu3O7-δ,,cuprate,89,1998,0,arxiv:cond-mat/9809333,false
YBa2Cu3O6.993,,cuprate,88.7,1998,0,arxiv:cond-mat/9803292,false
YBaCuO,,cuprate,88.4,1998,0,arxiv:cond-mat/9805105,false
Tl2Ba2CuO6+δ,,cuprate,87.6,1998,0,arxiv:cond-mat/9812081,true
Bi2SrCaCu2O8,,cuprate,87,1998,0,arxiv:cond-mat/9805105,false
YBa2(Cu0.995Zn0.005)3O7,,cuprate,87,1998,0,arxiv:cond-mat/9812047,false
Ho1Ba2Cu3O7-x,,cuprate,86.8,1998,0,arxiv:cond-mat/9810291,true
Tl2Ba2CuO6+δ,,cuprate,85,1998,0,arxiv:cond-mat/9801278,false
YBa2Cu3O7-δ,,cuprate,85,1998,0,arxiv:cond-mat/9803361,true
Bi2Sr2Ca(Cu1-zZnz)2O8+δ,,cuprate,84.5,1998,0,arxiv:cond-mat/9812265,false
Bi2Sr2Ca(Cu1-zZnz)2O8+δ,,cuprate,84.5,1998,0,arxiv:cond-mat/9812265,true
YBa2Cu3O(7-x),,cuprate,84,1998,0,arxiv:cond-mat/9812079,true
YBa2Cu3O7-δ,,cuprate,83,1998,0,arxiv:cond-mat/9812222,false
YBa2Cu4O8,,cuprate,81.5,1998,0,arxiv:cond-mat/9812333,false
Tl2Ba2CuO6+δ,,cuprate,80,1998,0,arxiv:cond-mat/9809159,false
YBa2Cu4O8,,cuprate,80,1998,0,arxiv:cond-mat/9804121,false
YBa2Cu4O8,,cuprate,80,1998,0,arxiv:cond-mat/9810152,true
Tl2Ba2CuO6+δ,,cuprate,78.7,1998,0,arxiv:cond-mat/9811082,false
YBa2Cu4O8,,cuprate,77.6,1998,0,arxiv:cond-mat/9802252,false
YBa2Cu3O(7-x),,cuprate,77,1998,0,arxiv:cond-mat/9812079,true
YBa2(Cu0.97Zn0.03)3O6.9,,cuprate,74.6,1998,0,arxiv:cond-mat/9810323,false
YBa2Cu4O8,,cuprate,72,1998,0,arxiv:cond-mat/9810152,true
YBa2Cu4O8,,cuprate,70.5,1998,0,arxiv:cond-mat/9812301,false
YBa2Cu4O8,,cuprate,65,1998,0,arxiv:cond-mat/9812301,false
YBa2Cu3O7-δ,,cuprate,64,1998,0,arxiv:cond-mat/9808141,true
YBa2Cu3O6+x,,cuprate,63,1998,0,arxiv:cond-mat/9808230,false
YBa2Cu3O6.60,,cuprate,60,1998,0,arxiv:cond-mat/9806064,false
YBa2Cu3O6+x,,cuprate,60,1998,0,arxiv:cond-mat/9810187,false
YBa2Cu3O(7-x),,cuprate,60,1998,0,arxiv:cond-mat/9812079,true
YBa2Cu3O7-δ,,cuprate,60,1998,0,arxiv:cond-mat/9801166,false
Tl2Ba2CuO6+δ,,cuprate,56,1998,0,arxiv:cond-mat/9809159,false
YBa2Cu3O(7-x),,cuprate,53,1998,0,arxiv:cond-mat/9812079,true
YBa2Cu3O7-δ,,cuprate,53,1998,0,arxiv:cond-mat/9809333,false
YBCO/YBCu3-xCoxO7+δ,,cuprate,50,1998,0,arxiv:cond-mat/9803361,true
YBa2Cu3O(7-x),,cuprate,48,1998,0,arxiv:cond-mat/9812079,true
Pr0.5Ca0.5Ba2Cu3O7-δ,,cuprate,43,1998,0,arxiv:cond-mat/9811268,false
La(1-x)SrxCuO2.5,,cuprate,40,1998,0,arxiv:cond-mat/9812211,false
La1.85Sr0.15CuO4,,cuprate,37,1998,0,arxiv:cond-mat/9801071,false
La1.83Sr0.17CuO4,,cuprate,37,1998,0,arxiv:cond-mat/9804262,false
La1.86Sr0.14CuO4,,cuprate,36,1998,0,arxiv:cond-mat/9812134,false
La1.86Sr0.14CuO4,,cuprate,35,1998,0,arxiv:cond-mat/9801169,false
La2-xSrxCuO4,,cuprate,35,1998,0,arxiv:cond-mat/9812081,true
La1.87Sr0.13CuO4,,cuprate,35,1998,0,arxiv:cond-mat/9804262,false
La2-xSrxCuO4,,cuprate,34,1998,0,arxiv:cond-mat/9806341,false
La1.905Ba0.095CuO4,,cuprate,33,1998,0,arxiv:cond-mat/9812335,false
Bi2Sr2-xLaxCuO6+δ,,cuprate,33,1998,0,arxiv:cond-mat/9812334,false
Ba0.6K0.4BiO3,,bismuthate,32,1998,0,arxiv:cond-mat/9807314,true
La2-xSrxCuO4,,cuprate,32,1998,0,arxiv:cond-mat/9806341,false
La1.81Sr0.19CuO4,,cuprate,32,1998,0,arxiv:cond-mat/9804262,false
La1.87Sr0.13CuO4,,cuprate,32,1998,0,arxiv:cond-mat/9812134,false
La1.905Ba0.095CuO4,,cuprate,31,1998,0,arxiv:cond-mat/9812335,false
La1.78Sr0.22CuO4,,cuprate,30,1998,0,arxiv:cond-mat/9804262,false
Bi2Sr2-xLaxCuO6+δ,,cuprate,30,1998,0,arxiv:cond-mat/9812334,false
La-Ba-Cu-Osystem,,Other,30,1998,0,arxiv:cond-mat/9802202,true
Ba1-xKxBiO3,,bismuthate,30,1998,0,arxiv:cond-mat/9807314,true
Tl2Ba2CuO6+δ,,cuprate,30,1998,0,arxiv:cond-mat/9809159,false
La1.905Ba0.095CuO4,,cuprate,29,1998,0,arxiv:cond-mat/9812335,false
GdBa2Cu3O6.5,,cuprate,29,1998,0,arxiv:cond-mat/9803056,false
Bi2Sr2-xLaxCuO6+δ,,cuprate,28.5,1998,0,arxiv:cond-mat/9812334,false
Ba0.6K0.4BiO3,,bismuthate,28,1998,0,arxiv:cond-mat/9807314,false
La1.90Sr0.10CuO4,,cuprate,27,1998,0,arxiv:cond-mat/9804262,false
Tl2Ba2CuO6+δ,,cuprate,25,1998,0,arxiv:cond-mat/9801278,false
Nd2-xCexCuO4,,cuprate,24,1998,0,arxiv:cond-mat/9811116,true
Nd1.85Ce0.15CuO4,,cuprate,24,1998,0,arxiv:cond-mat/9805162,false
La1.85Sr0.15CuO4,,cuprate,24,1998,0,arxiv:cond-mat/9805162,false
Bi2Sr2-xLaxCuO6+δ,,cuprate,24,1998,0,arxiv:cond-mat/9812334,false
NdCeCuO,,cuprate,24,1998,0,arxiv:cond-mat/9804161,false
Nb3Ge,,conventional,23,1998,0,arxiv:cond-mat/9802202,true
La2-xSrxCuO4,,cuprate,21,1998,0,arxiv:cond-mat/9806341,false
La2CuO4+δ,,cuprate,20,1998,0,arxiv:cond-mat/9807297,false
K3C60,,fulleride,20,1998,0,arxiv:cond-mat/9811424,true
Bi2Sr2-xLaxCuO6+δ,,cuprate,20,1998,0,arxiv:cond-mat/9812334,false
TmBa2Cu3O6+x,,cuprate,19,1998,0,arxiv:cond-mat/9811104,false
La2-xSrxCuO4,,cuprate,18,1998,0,arxiv:cond-mat/9806341,false
V3Si,,conventional,17,1998,0,arxiv:cond-mat/9801166,true
Tl2Ba2CuO6+δ,,cuprate,17,1998,0,arxiv:cond-mat/9801059,false
LuNi2B2C,,borocarbide,16.7,1998,0,arxiv:cond-mat/9811273,false
LuNi2B2C,,borocarbide,16,1998,0,arxiv:cond-mat/9801166,true
Tl2Ba2CuO6+δ,,cuprate,15,1998,0,arxiv:cond-mat/9801278,false
LuNi2B2C,,borocarbide,14.7,1998,0,arxiv:cond-mat/9811273,false
Cu[N(CN)2]Clsalt,,Other,13,1998,0.02,arxiv:cond-mat/9807147,true
Sr0.4Ca13.6Cu24O41,,cuprate,12,1998,3,arxiv:cond-mat/9802185,false
kappa-(BEDT-TTF)2Cu(SCN)2,,Other,10,1998,0,arxiv:cond-mat/9802198,false
κ-(ET)2Cl,,organic,10,1998,,arxiv:cond-mat/9807322,true
Sr2.5Ca11.5Cu24O41,,cuprate,10,1998,3.5,arxiv:cond-mat/9802185,false
GdBa2Cu3O6.5,,cuprate,10,1998,0,arxiv:cond-mat/9803056,false
Nb,,elemental,9.23,1998,0,arxiv:cond-mat/9807109,false
Nb,,elemental,8.6,1998,0,arxiv:cond-mat/9807109,false
La1.94Sr0.06CuO4,,cuprate,8,1998,0,arxiv:cond-mat/9812425,true
κ-(BEDT-TTF)2X,,organic,8,1998,0,arxiv:cond-mat/9807042,true
Nb,,elemental,7.7,1998,0,arxiv:cond-mat/9811347,false
Nb,,elemental,7.3,1998,0,arxiv:cond-mat/9811347,false
NbSe2,,chalcogenide,7.2,1998,0,arxiv:cond-mat/9801166,false
Nb,,elemental,7.1,1998,0,arxiv:cond-mat/9811347,false
La1.94Sr0.06CuO4,,cuprate,7,1998,0,arxiv:cond-mat/9812425,true
NbSe2,,chalcogenide,7,1998,0,arxiv:cond-mat/9811420,false
NbSe2,,chalcogenide,7,1998,0,arxiv:cond-mat/9812081,true
CeRu2,,heavy_fermion,6.3,1998,0,arxiv:cond-mat/9801247,false
Pb(50nm)/Cu(17nm),,Other,6.05,1998,0,arxiv:cond-mat/9806072,false
Pb(50nm)/Cu(17nm),,Other,5.55,1998,0,arxiv:cond-mat/9806072,false
In2Ox,,Other,2,1998,0,arxiv:cond-mat/9806244,false
Al,,elemental,1.1,1998,0,arxiv:cond-mat/9811338,false
Al,,elemental,1,1998,0,arxiv:cond-mat/9801286,false
