id,formula,formula_latex,family,subfamily,tc_max,tc_max_conditions,tc_ambient,discovery_year,total_papers,status,pairing_symmetry,structure_phase,ambient_sc,is_topological,is_unconventional,is_2d_or_interface,has_competing_order
"mat:(la,y)h10","(La,Y)H10",,hydride,,253,"P=183 GPa, polycrystal, arXiv:2012.04787",,2020,1,active_research,,,,,,,false
mat:yh6,YH6,,hydride,,250,"P=200 GPa, arXiv:2310.00056, confirmed by 2 papers",,2017,10,active_research,s-wave,,false,,,,false
mat:h3s0.9p0.1,H3S0.9P0.1,,hydride,,250,"P=200 GPa, arXiv:1507.08525",,2015,1,active_research,,,,,,,false
mat:h3s,H3S,,hydride,,248,"P=250 GPa, arXiv:1804.08224, confirmed by 2 papers",,2015,25,active_research,s-wave,,false,,false,,false
mat:lah9.59,LaH9.59,,hydride,,245,"P=150 GPa, arXiv:2409.09836",,2024,1,active_research,,,false,,,,false
mat:(la0.9y0.1)h10,(La0.9Y0.1)H10,,hydride,,244,"resistivity, arXiv:2507.18831",,2025,1,active_research,,,,,,,false
mat:yh9,YH9,,hydride,,243,"P=201 GPa, resistivity, arXiv:1909.10482",,2019,1,active_research,,,false,,,,false
mat:lah9.625,LaH9.625,,hydride,,242,"P=137 GPa, arXiv:2409.09836",,2024,1,active_research,,,false,,,,false
mat:thh10,ThH10,,hydride,,241,"P=80 GPa, arXiv:1711.00278, confirmed by 2 papers",,2017,3,active_research,,,false,,,,false
"mat:(la,y)h6","(La,Y)H6",,hydride,,237,"polycrystal, arXiv:2012.04787",,2020,1,active_research,,,,,,,false
mat:lah9.75,LaH9.75,,hydride,,230,"P=137 GPa, arXiv:2409.09836",,2024,1,active_research,,,false,,,,false
mat:hfh10,HfH10,,hydride,,223.5,"P=250 GPa, arXiv:2001.04076",,2020,1,active_research,,,,,false,,false
mat:gdyh5,GdYH5,,hydride,,223.1999969482422,"P=157 GPa, arXiv:2510.10720",,2025,1,active_research,,,,,,,false
mat:lah9.6,LaH9.6,,hydride,,220,"P=150 GPa, susceptibility, arXiv:2510.21877",,2025,1,active_research,,,,,,,false
mat:lah16,LaH16,,hydride,,219.60000610351562,"P=250 GPa, arXiv:2112.06504, confirmed by 2 papers",,2018,2,active_research,,,,,,,false
mat:thbeh8,ThBeH8,,hydride,,217.64999389648438,"P=200 GPa, arXiv:2209.01903",,2022,1,active_research,,,,,,,false
mat:cah6,CaH6,,hydride,,215,"arXiv:2512.03721, confirmed by 2 papers",,2013,6,active_research,,,false,,,,false
mat:la3thh40,La3ThH40,,,,210,"P=200 GPa, arXiv:2210.06371",,2022,1,active_research,,,false,,,,false
mat:c0.057s0.943h3,C0.057S0.943H3,,,,208,"P=270 GPa, arXiv:2109.09898",,2021,1,active_research,,,,,,,false
mat:h3se,H3Se,,hydride,,200,"P=64 GPa, arXiv:2408.10625, confirmed by 3 papers",,2015,4,active_research,,,false,,,,false
mat:h3s0.9o0.1,H3S0.9O0.1,,,,198,"P=200 GPa, arXiv:1507.08525",,2015,1,active_research,,,,,,,false
mat:ymgh12,YMgH12,,hydride,,198,arXiv:2107.05498,,2021,1,active_research,,,false,,,,false
mat:sch6,ScH6,,hydride,,196,arXiv:2106.10732,,2021,1,active_research,,,false,,true,,false
mat:lad10,LaD10,,,,191,"P=250 GPa, arXiv:1912.09663",,2019,2,active_research,,,false,,false,,false
mat:h2s,H2S,,hydride,,190,"resistivity, arXiv:1412.0460, confirmed by 2 papers",,2014,5,active_research,,,false,,false,,false
"mat:hx(s,c)y","Hx(S,C)y",,,,190,"P=210 GPa, resistivity, arXiv:2010.10434",,2020,1,active_research,,,,,true,,false
mat:fd3̅m-ymgh12,Fd3̅m-YMgH12,,hydride,,190,"P=250 GPa, arXiv:2107.05498",,2021,1,active_research,,,false,,,,false
mat:h3se0.85as0.15,H3Se0.85As0.15,,hydride,,185,"P=200 GPa, arXiv:1507.08525",,2015,1,active_research,,,,,,,false
mat:ca8h46,Ca8H46,,hydride,,185,arXiv:2512.03721,,2025,1,active_research,,,,,,,false
mat:la0.75ba0.25h5.75,La0.75Ba0.25H5.75,,hydride,,183,arXiv:2601.02966,,2026,1,active_research,,,false,,,,false
mat:α-labh17,α-LaBH17,,hydride,,180,"P=300 GPa, arXiv:2106.07266",,2021,1,active_research,,,,,,,false
mat:β-labh17,β-LaBH17,,hydride,,179,"P=300 GPa, arXiv:2106.07266",,2021,1,active_research,,,,,,,false
"mat:(la,ce)h10","(La,Ce)H10+x",,hydride,,179,"P=148 GPa, resistivity, arXiv:2404.09199",,2024,1,active_research,,,false,,,,false
"mat:(la,ce)h9","(La,Ce)H9",,hydride,,178,"resistivity, arXiv:2204.04623",,2022,1,active_research,,,false,,,,false
mat:c60/c12h26,C60/C12H26,,fulleride,,175,"ambient, arXiv:cond-mat/0109251",175,2001,1,active_research,,,true,,,,false
mat:fm3̄m-la0.5ce0.5h10,Fm3̄m-La0.5Ce0.5H10,,hydride,,175,"P=155 GPa, resistivity, arXiv:2208.05199",,2022,1,active_research,,,false,,,,false
mat:si2h6,Si2H6,,,,173.36000061035156,"P=275 GPa, arXiv:1210.1820, confirmed by 2 papers",,2011,2,active_research,,,false,,true,,false
mat:yceh18,YCeH18,,hydride,,173,"P=150 GPa, arXiv:2204.01921",,2022,1,active_research,,,,,,,false
mat:lah13,LaH13,,hydride,,172,"P=300 GPa, arXiv:2308.15031",,2023,1,active_research,,,,,,,false
mat:d3s,D3S,,,,168,"P=160 GPa, arXiv:2510.25902, confirmed by 2 papers",,2015,2,active_research,,,false,,false,,false
mat:ceh16,CeH16,,hydride,,165.10000610351562,"P=250 GPa, arXiv:2112.06504",,2021,1,active_research,,,,,,,false
mat:yd6,YD6,,,,165,"P=200 GPa, arXiv:2302.12988",,2021,2,active_research,,,,,false,,false
mat:lamg3h28,LaMg3H28,,,,164,"P=200 GPa, arXiv:2308.15031",,2023,1,active_research,,,,,,,false
mat:h3o0.5s0.5,H3O0.5S0.5,,,,164,"P=190 GPa, arXiv:1507.02522",,2015,1,active_research,s-wave,,,,,,false
mat:nacah12,NaCaH12,,hydride,,162.35000610351562,"P=100 GPa, arXiv:2511.11284",,2025,1,active_research,,,,,,,false
mat:h3s0.7te0.3,H3S0.7Te0.3,,hydride,,161,"P=200 GPa, arXiv:1507.08525",,2015,1,active_research,,,,,,,false
mat:bacuo2,BaCuO2,,cuprate,,160,arXiv:1311.1068,,2013,1,active_research,,infinite_layer,,,true,,false
mat:ca8h45,Ca8H45,,,,160,"P=170 GPa, arXiv:2512.03721",,2025,1,active_research,,,false,,,,false
mat:c60/chi3,C60/CHI3,,fulleride,,158,"ambient, arXiv:cond-mat/0109251, confirmed by 3 papers",158,2001,3,active_research,,,true,,true,,false
mat:cs2h10,CS2H10,,,,155,"P=150 GPa, arXiv:2107.10485",,2021,1,active_research,,,false,,,,false
mat:cmmm-ymgh12,Cmmm-YMgH12,,hydride,,153,"P=250 GPa, arXiv:2107.05498",,2021,1,active_research,,,false,,,,false
mat:b2h6,B2H6,,,,147,"P=360 GPa, arXiv:1303.0500",,2013,1,active_research,,,false,,true,,false
mat:thh9,ThH9,,hydride,,146,"P=170 GPa, resistivity, arXiv:1902.10206",,2019,2,active_research,,,false,,,,false
mat:ybh6,YbH6,,hydride,,145,"P=70 GPa, arXiv:2010.12225",,2020,1,active_research,,,,,,,false
mat:ykh12,YKH12,,hydride,,143.1999969482422,"P=240 GPa, arXiv:2103.00193",,2021,1,active_research,,,,,,,false
mat:ash8,AsH8,,,,141,"P=350 GPa, arXiv:1510.04415",,2015,1,active_research,,,false,,,,false
mat:yba2cu3o(6),YBa2Cu3O(6+x),,cuprate,,140,"single_crystal, resistivity, arXiv:1205.1404, confirmed by 2 papers",140,1996,2,active_research,,cuprate_123,true,,true,,false
mat:y0.5ce0.5h9,Y0.5Ce0.5H9,,hydride,,140,"P=120 GPa, resistivity, arXiv:2208.05191",,2022,1,active_research,,,,,,,false
mat:ca8h44,Ca8H44,,,,140,"P=170 GPa, arXiv:2512.03721",,2025,1,active_research,,,false,,,,false
mat:hg0.8tl0.2ba2ca2cu3o8.33,Hg0.8Tl0.2Ba2Ca2Cu3O8.33,,cuprate,,138,"ambient, arXiv:2512.03658",138,2025,1,active_research,d-wave,cuprate,true,,true,,false
mat:c60/c6h4cl2,C60/C6H4Cl2,,fulleride,,137,"ambient, arXiv:cond-mat/0109251",137,2001,1,active_research,,,true,,,,false
mat:ceh9,CeH9,,hydride,,136,"P=100 GPa, arXiv:2101.03481, confirmed by 3 papers",,2021,5,active_research,,,false,true,,,false
mat:yba2cu3o6,YBa2Cu3O6+x,,cuprate,,135,"single_crystal, resistivity, arXiv:1006.3165, confirmed by 2 papers",95,1995,87,active_research,d-wave,cuprate_123,true,,true,true,true
mat:lah18,LaH18,,hydride,,134.69000244140625,"P=400 GPa, arXiv:2202.11773",,2022,1,active_research,,,,,,,false
mat:hg0.8cu0.2ba2ca2cu3o8+df,Hg0.8Cu0.2Ba2Ca2Cu3O8+δF,,cuprate,,134,"ambient, polycrystal, susceptibility, arXiv:cond-mat/0210652",134,2002,1,active_research,,1223,true,,true,,true
mat:hg0.8cu0.2ba2ca2cu3o8,Hg0.8Cu0.2Ba2Ca2Cu3O8+δ,,cuprate,,134,"ambient, polycrystal, susceptibility, arXiv:cond-mat/0210652, confirmed by 2 papers",134,2002,2,active_research,,1223,true,,true,,false
mat:hgba2ca2cu3ox,HgBa2Ca2Cu3Ox,,cuprate,,134,"ambient, polycrystal, susceptibility, arXiv:cond-mat/0204616, confirmed by 4 papers",134,2002,4,active_research,,1223,true,,true,true,true
mat:hg0.8cu0.2ba2ca2cu3o8f,Hg0.8Cu0.2Ba2Ca2Cu3O8+δF,,cuprate,,134,"ambient, polycrystal, susceptibility, arXiv:cond-mat/0210652",134,2002,1,active_research,,1223,true,,true,,true
mat:re-dopedhgba2ca2cu3o8,Re-dopedHgBa2Ca2Cu3O8+δ,,cuprate,,133,"polycrystal, susceptibility, arXiv:1902.05232",133,2019,1,active_research,,Hg1223,true,,true,,false
mat:hg0.82re0.18ba2ca2cu3o8,Hg0.82Re0.18Ba2Ca2Cu3O8+δ,,cuprate,,132,"ambient, resistivity, arXiv:cond-mat/0110462",132,2001,1,active_research,,,true,,true,,false
mat:tl2ba2ca2cu3o10,Tl2Ba2Ca2Cu3O10,,cuprate,,131,"polycrystal, susceptibility, arXiv:1006.0787, confirmed by 3 papers",131,1997,12,active_research,,,true,,true,true,false
"mat:(hg,re)ba2ca2cu3o8","(Hg,Re)Ba2Ca2Cu3O8+δ",,cuprate,,130,"ambient, single_crystal, susceptibility, arXiv:2506.08763, confirmed by 2 papers",130,2024,2,active_research,,1223,true,,true,,false
mat:sih4(h2)2,SiH4(H2)2,,,,129.8300018310547,"P=250 GPa, arXiv:1208.4258",,2012,1,active_research,,,,,,,false
mat:hubbardtypemodel,Hubbardtypemodel,,,,128,arXiv:cond-mat/0608667,,2006,1,active_research,,,,,true,,false
mat:c60/c6h5no2,C60/C6H5NO2,,fulleride,,127,"ambient, arXiv:cond-mat/0109251",127,2001,1,active_research,,,true,,,,false
mat:hgba2cacu2o6,HgBa2CaCu2O6+δ,,cuprate,,127,"ambient, thin_film, resistivity, arXiv:cond-mat/9904385, confirmed by 4 papers",127,1996,15,active_research,,,true,,true,true,false
mat:c60/ch2i2,C60/CH2I2,,fulleride,,127,"ambient, arXiv:cond-mat/0109251",127,2001,1,active_research,,,true,,,,false
mat:tl0.75cu0.25ba2ca3cu4oy,Tl0.75Cu0.25Ba2Ca3Cu4Oy,,cuprate,,127,"P=3.5 GPa, polycrystal, arXiv:cond-mat/0108085",,2001,1,active_research,,1234,false,,true,,false
mat:hgba2ca3cu4ox,HgBa2Ca3Cu4Ox,,cuprate,,127,"ambient, arXiv:cond-mat/0210560, confirmed by 4 papers",127,2002,4,active_research,,,true,,true,true,false
mat:hgba2cacu2ox,HgBa2CaCu2Ox,,cuprate,,127,"ambient, arXiv:cond-mat/0304628, confirmed by 3 papers",127,2002,3,active_research,,cuprate_1212,true,,true,true,false
mat:tlba2ca3cu4o11,TlBa2Ca3Cu4O11+δ,,cuprate,,127,"ambient, arXiv:cond-mat/0306680, confirmed by 2 papers",127,2003,2,active_research,,,true,,,,false
mat:tlba2ca3cu4oy,TlBa2Ca3Cu4Oy,,cuprate,,126.69999694824219,"ambient, susceptibility, arXiv:cond-mat/0503670",126.69999694824219,2005,1,active_research,,Tl-1234,true,,true,,false
mat:hg0.8pb0.2ba2ca2cu3o8,Hg0.8Pb0.2Ba2Ca2Cu3O8+δ,,cuprate,,126.5,"resistivity, arXiv:1106.6163",,2011,1,active_research,,,,,true,,false
mat:labh8,LaBH8,,hydride,,126,"P=50 GPa, arXiv:2102.11227, confirmed by 2 papers",,2021,2,active_research,,,,,,,false
mat:hg0.8re0.2ba2ca2cu3o8,Hg0.8Re0.2Ba2Ca2Cu3O8,,cuprate,,126,"ambient, powder, arXiv:cond-mat/0201244",126,2002,1,active_research,,cuprate_1223,true,,true,,true
mat:hgba2ca3cu4o10,HgBa2Ca3Cu4O10+x,,cuprate,,125,"ambient, susceptibility, arXiv:cond-mat/0010274, confirmed by 2 papers",125,1999,3,active_research,,1234,true,,true,true,false
mat:cu-olayers,Cu-Olayers,,,,125,arXiv:0711.1009,125,2007,1,active_research,d-wave,cuprate_123,true,,,,false
mat:lib2c2,LiB2C2,,,,125,"thin_film, arXiv:1911.12690",92,2019,1,active_research,,,true,,,true,false
mat:hg-basedsample,Hg-basedsample,,,,125,"ambient, susceptibility, arXiv:cond-mat/0412009",125,2004,1,active_research,,,true,,,,false
"mat:(y,sc)h4","(Y,Sc)H4",,hydride,,124.43000030517578,"P=100 GPa, arXiv:2509.17501",,2025,1,active_research,,,,,,,false
mat:cebh8,CeBH8,,hydride,,123,"P=195 GPa, arXiv:2210.17005",,2022,1,active_research,,,,,,,false
mat:tlba2ca2cu3o9,TlBa2Ca2Cu3O9,,cuprate,,123,"single_crystal, ARPES, arXiv:0907.2747, confirmed by 2 papers",123,1995,3,active_research,,,true,,true,true,false
mat:kx(c18h14),Kx(C18H14),,,,123,"ambient, arXiv:1703.06641",123,2017,1,active_research,,,true,,true,,false
mat:re-dopedhgba2cacu2o6,Re-dopedHgBa2CaCu2O6+δ,,cuprate,,122,"polycrystal, susceptibility, arXiv:1902.05232",122,2019,1,active_research,,Hg1212,true,,true,,false
mat:tl2ca2ba2cu3o10,Tl2Ca2Ba2Cu3O10,,cuprate,,121.5,"ambient, arXiv:cond-mat/0211523",121.5,2002,2,active_research,,,true,,true,,false
mat:c60/c6h5cl,C60/C6H5Cl,,fulleride,,121,"ambient, arXiv:cond-mat/0109251",121,2001,1,active_research,,,true,,,,false
mat:hxs,HxS,,,,121,"P=200 GPa, arXiv:1512.06680",,2015,1,active_research,,,false,,,,false
mat:hg1ba2ca2cu3o8,Hg1Ba2Ca2Cu3O8+δ,,cuprate,,120,"ambient, single_crystal, arXiv:cond-mat/0011183",120,2000,1,active_research,,1223,true,,true,,false
mat:none,None,,,,120,"ambient, arXiv:cond-mat/0311265, confirmed by 2 papers",120,1997,12,active_research,d-wave,,true,,true,true,false
mat:bsco,BSCO,,,,120,arXiv:1008.5116,,2010,1,active_research,,,,,true,,false
mat:libch,LiBCH,,,,120,"thin_film, arXiv:2406.00358",120,2024,1,active_research,,,true,,,true,false
mat:la0.67sr0.33mno3,La0.67Sr0.33MnO3,,,,120,arXiv:1110.3960,120,2011,1,active_research,p-wave,,true,,true,,false
mat:yba2cu3o8,YBa2Cu3O8-x,,cuprate,,120,"ambient, arXiv:cond-mat/0411574",120,1997,3,active_research,,cuprate_123,true,,true,,false
mat:tl2ba2ca2cu3ox,Tl2Ba2Ca2Cu3Ox,,cuprate,,119,"ambient, single_crystal, susceptibility, arXiv:cond-mat/0503250",119,2005,1,active_research,,,true,,true,,false
mat:cabh6,CaBH6,,hydride,,119,"P=300 GPa, arXiv:2006.00960",,2020,1,active_research,s-wave,,false,,false,,false
mat:ysbh6,YSbH6,,hydride,,118,"P=50 GPa, arXiv:2512.19901",,2025,1,active_research,,,false,,,,false
mat:tl0.7pb0.2bi0.2sr1.6ba0.4ca1.9cu3o9,Tl0.7Pb0.2Bi0.2Sr1.6Ba0.4Ca1.9Cu3O9+x,,cuprate,,118,"thin_film, resistivity, arXiv:2510.15538",,2025,1,active_research,,,,,true,,false
mat:ca2alh12,Ca2AlH12,,hydride,,118,"P=250 GPa, arXiv:2305.11678",,2023,1,active_research,,,false,,,,false
mat:immm-ca2alh12,Immm-Ca2AlH12,,hydride,,118,"P=250 GPa, arXiv:2305.11678",,2023,1,active_research,,,false,,,,false
mat:c60/chbr3,C60/CHBr3,,fulleride,,117,"ambient, arXiv:cond-mat/0109251, confirmed by 5 papers",117,2001,5,active_research,,,true,,true,true,false
mat:cuba2ca3cu4o12,CuBa2Ca3Cu4O12-δ,,cuprate,,117,"ambient, polycrystal, susceptibility, arXiv:cond-mat/0010274",117,2000,1,active_research,,1234,true,,true,true,false
mat:c60·2chbr3,C60·2CHBr3,,fulleride,,117,"ambient, single_crystal, arXiv:cond-mat/0112329, confirmed by 2 papers",117,2001,2,active_research,,,true,,,true,false
"mat:(cu,c)-1234","(Cu,C)-1234",,,,117,"ambient, arXiv:cond-mat/9902232",117,1999,1,active_research,,1234,true,,,,false
"mat:(cu,c)ba2ca3cu4o11","(Cu,C)Ba2Ca3Cu4O11+δ",,cuprate,,116,"resistivity, arXiv:1805.05830, confirmed by 2 papers",116,2018,2,active_research,,,true,,true,,false
mat:gaba2ca3cu4o10,GaBa2Ca3Cu4O10+δ,,cuprate,,116,"polycrystal, susceptibility, arXiv:1805.09268",116,2018,1,active_research,,Ga-1234,true,,true,,false
mat:gaba2ca2cu3o8,GaBa2Ca2Cu3O8+δ,,cuprate,,116,"polycrystal, susceptibility, arXiv:1805.09268",116,2018,1,active_research,,Ga-1223,true,,true,,false
mat:tl0.7bi0.2sr1.8ba0.2ca1.9cu3ox,Tl0.7Bi0.2Sr1.8Ba0.2Ca1.9Cu3Ox,,cuprate,,115.80000305175781,"ambient, ceramic, susceptibility, arXiv:cond-mat/0304308",115.80000305175781,2003,1,active_research,,Tl-1223,true,,true,,false
mat:li0.5bc,Li0.5BC,,,,115,"ambient, arXiv:cond-mat/0111592, confirmed by 3 papers",115,2001,3,active_research,,,true,,,,false
mat:rbh12,RbH12,,,,115,"P=50 GPa, arXiv:2001.09852",,2020,2,active_research,,,false,,,,false
"mat:(cu,c)ba2ca2cu3o9","(Cu,C)Ba2Ca2Cu3O9",,cuprate,,113,"thin_film, resistivity, arXiv:2408.02094",113,2024,1,active_research,,,true,,true,,false
"mat:(cu,c)-1223","(Cu,C)-1223",,,,113,"thin_film, resistivity, arXiv:2408.02094",113,2024,1,active_research,,,true,,,true,false
"mat:(bi,pb)2sr2ca2cu3o10","(Bi,Pb)2Sr2Ca2Cu3O10",,cuprate,,112.5,"ambient, polycrystal, resistivity, arXiv:cond-mat/0203323, confirmed by 2 papers",112.5,2000,3,active_research,d-wave,2223,true,,true,true,false
"mat:(cu,c)ba2ca2cu3o9\pm\delta","(Cu,C)Ba2Ca2Cu3O9\pm\delta",,cuprate,,112,"thin_film, resistivity, arXiv:2408.15902",112,2024,1,active_research,,,true,,,,false
mat:tl2ba2cacu2o8,Tl2Ba2CaCu2O8,,cuprate,,112,"P=7 GPa, arXiv:2309.13919, confirmed by 2 papers",110,1997,35,active_research,d-wave,,true,,true,true,false
"mat:(cu,c)ba2ca2cu3o9d","(Cu,C)Ba2Ca2Cu3O9±δ",,cuprate,,112,"thin_film, resistivity, arXiv:2408.15902",112,2024,1,active_research,,,true,,true,,false
mat:bi1.8pb0.3sr1.9ca2cu3ox,Bi1.8Pb0.3Sr1.9Ca2Cu3Ox,,cuprate,,112,"ambient, polycrystal, resistivity, arXiv:cond-mat/0410112, confirmed by 2 papers",112,2004,3,active_research,,,true,,true,,false
mat:bi1.4pb0.6sr2ca2(cu0.95li0.05)3o10,Bi1.4Pb0.6Sr2Ca2(Cu0.95Li0.05)3O10,,cuprate,,111.4000015258789,"susceptibility, arXiv:2603.03124",111.4000015258789,2026,1,active_research,,,true,,true,,false
mat:bi1.6pb0.4sr2ca2cu3o10,Bi1.6Pb0.4Sr2Ca2Cu3O10+y,,cuprate,,111.0999984741211,"ambient, polycrystal, susceptibility, arXiv:2405.04689, confirmed by 3 papers",107,2002,4,active_research,,,true,,true,,false
mat:hgba2ca2cu3o7,HgBa2Ca2Cu3O7-δ,,cuprate,,111.0999984741211,"ambient, specific_heat, arXiv:cond-mat/0306668",111.0999984741211,2003,1,active_research,,cuprate_1223,true,,true,,false
mat:bi2sr2ca2cu3o10,Bi2Sr2Ca2Cu3O10+δ,,cuprate,,111,"ambient, single_crystal, susceptibility, arXiv:cond-mat/0503239, confirmed by 2 papers",111,1998,51,active_research,d-wave,,true,,true,true,true
mat:bi2sr2ca2cu3o8,Bi2Sr2Ca2Cu3O8+δ,,cuprate,,111,"single_crystal, STM, arXiv:cond-mat/0703131",111,2007,1,active_research,d-wave,Bi2223,true,,true,true,false
mat:hgba2ca4cu5o12,HgBa2Ca4Cu5O12+δ,,cuprate,,110,"polycrystal, susceptibility, arXiv:0810.0880, confirmed by 2 papers",110,2006,2,active_research,,Hg-1245,true,,true,,true
mat:bi1.73pb0.27sr2ca2cu3oy,Bi1.73Pb0.27Sr2Ca2Cu3Oy,,cuprate,,110,"ambient, polycrystal, susceptibility, arXiv:cond-mat/0309020",110,2003,1,active_research,d-wave,Bi2223,true,,true,,false
mat:bi2.2sr1.8ca2cu3o10+\delta,Bi2.2Sr1.8Ca2Cu3O10+\delta,,cuprate,,110,"single_crystal, susceptibility, arXiv:1008.4327",110,2010,1,active_research,,,true,,true,,false
mat:tl2ba2cacu2ox,Tl2Ba2CaCu2Ox,,cuprate,,109,"ambient, single_crystal, susceptibility, arXiv:cond-mat/0503250",109,2005,1,active_research,,,true,,true,,false
mat:y7-11-18,Y7-11-18,,,,109,"resistivity, arXiv:0911.4524",,2009,1,active_research,,,,,,,false
mat:hgba2ca4cu5oy,HgBa2Ca4Cu5Oy,,cuprate,,108,"ambient, polycrystal, susceptibility, arXiv:cond-mat/0401416, confirmed by 2 papers",108,2004,2,active_research,,1245,true,,true,,true
mat:hgba2ca4cu5ox,HgBa2Ca4Cu5Ox,,cuprate,,108,"polycrystal, susceptibility, arXiv:cond-mat/0612380",,2006,1,active_research,,1245,,,true,true,true
mat:bi1.7pb0.2sb0.1sr2ca2cu3oy,Bi1.7Pb0.2Sb0.1Sr2Ca2Cu3OY,,cuprate,,108,"ambient, polycrystal, susceptibility, arXiv:cond-mat/9808126",108,1998,1,active_research,,2223,true,,true,,false
mat:bisrcacuo(2223),BiSrCaCuO(2223),,cuprate,,108,"ambient, polycrystal, resistivity, arXiv:cond-mat/0211233",108,2002,1,active_research,,2223,true,,true,true,false
mat:(bipb)2sr2ca2cu3o10,(BiPb)2Sr2Ca2Cu3O10+y,,cuprate,,107.30000305175781,"ambient, wire, resistivity, arXiv:cond-mat/0304354",107.30000305175781,2003,1,active_research,,2223,true,,true,,false
mat:npbeh8,NpBeH8,,hydride,,107.18000030517578,"P=350 GPa, arXiv:2209.01903",,2022,1,active_research,,,,,,,false
mat:tlba2cacu2o7,TlBa2CaCu2O7+δ,,cuprate,,107,"ambient, arXiv:cond-mat/0306680, confirmed by 2 papers",107,2003,2,active_research,,,true,,,,false
mat:tl0.5-ypb0.5+ysr2ca1-xyxcu2o7,Tl0.5-yPb0.5+ySr2Ca1-xYxCu2O7,,cuprate,,107,"ambient, polycrystal, resistivity, arXiv:cond-mat/0006288",107,2000,1,active_research,,,true,,true,,false
mat:k3c18h14,K3C18H14,,,,107,"polycrystal, susceptibility, arXiv:1712.01766",107,2017,1,active_research,,,true,,,,false
mat:bi1.7pb0.3sr2ca2cu3oy,Bi1.7Pb0.3Sr2Ca2Cu3Oy,,cuprate,,107,"ambient, single_crystal, arXiv:cond-mat/0110051",107,2001,1,active_research,,2223,true,,true,,false
mat:bi1.5pb0.3sb0.2sr2ca2cu3oy,Bi1.5Pb0.3Sb0.2Sr2Ca2Cu3OY,,cuprate,,106.5,"ambient, polycrystal, susceptibility, arXiv:cond-mat/9808126",106.5,1998,1,active_research,,2223,true,,true,,false
mat:na0.6bc,Na0.6BC,,,,106,"ambient, arXiv:cond-mat/0201126",106,2002,1,active_research,,,true,,,,false
mat:sbh4,SbH4,,,,106,"P=150 GPa, arXiv:1506.03889, confirmed by 2 papers",,2015,2,active_research,,,false,,,,false
mat:h-cn,h-CN,,,,105.5999984741211,arXiv:2208.07079,105.5999984741211,2022,1,active_research,,,true,,false,true,false
mat:la4h23,La4H23,,hydride,,105,"P=118 GPa, resistivity, arXiv:2307.13067",,2023,1,active_research,,,false,,true,,false
mat:y3ba5cu8o18,Y3Ba5Cu8O18,,cuprate,,105,arXiv:1110.0893,105,2011,1,active_research,,Y358,true,,true,,false
mat:hg1ba2ca1cu2o6,Hg1Ba2Ca1Cu2O6+x,,cuprate,,104.69999694824219,"ambient, thin_film, resistivity, arXiv:cond-mat/0304566",104.69999694824219,2003,1,active_research,,1212,true,,true,,false
mat:bi-based(2223),Bi-based(2223),,cuprate,,104,"ambient, polycrystal, resistivity, arXiv:cond-mat/0107430",104,2001,1,active_research,,2223,true,,true,,false
mat:bih5,BiH5,,,,103,"P=200 GPa, arXiv:1803.00325",,2018,1,active_research,,,false,,true,,false
mat:lahx,LaHx,,,,103,"P=78 GPa, arXiv:2203.14353",,2022,1,active_research,,,false,,,,false
mat:h-mgb2,H-MgB2,,,,103,"thin_film, arXiv:1902.03818",,2019,1,active_research,,,,,,true,false
