paper_id,year,arxiv_id,g_formula,g_tc,g_pc,g_fam,g_ev,c_formula,c_tc,c_pc,c_fam,c_ev,fsim,fmatch,tcmatch,pcmatch,famatch,evmatch
arxiv:cond-mat/0311364,2003,cond-mat/0311364,MgB2,,unknown,mgb2,primary,MgB2,,ambient,mgb2,primary,1.0,True,False,False,True,True
arxiv:1202.1894,2012,1202.1894,UPt3,0.55,unknown,heavy_fermion,cited,UPt3,0.55,unknown,heavy_fermion,cited,1.0,True,True,True,True,True
arxiv:1202.1894,2012,1202.1894,UPt3,0.55,unknown,heavy_fermion,cited,UPt3,0.5,unknown,heavy_fermion,cited,1.0,True,True,True,True,True
arxiv:1202.1894,2012,1202.1894,UPt3,0.55,unknown,heavy_fermion,cited,UPt3,,unknown,heavy_fermion,cited,1.0,True,False,True,True,True
arxiv:1202.1894,2012,1202.1894,UPt3,0.55,unknown,heavy_fermion,cited,UPt3,,unknown,heavy_fermion,cited,1.0,True,False,True,True,True
arxiv:1202.1894,2012,1202.1894,UPt3,0.55,unknown,heavy_fermion,cited,UPt3,,unknown,heavy_fermion,cited,1.0,True,False,True,True,True
arxiv:1202.1894,2012,1202.1894,UPt3,0.55,unknown,heavy_fermion,cited,UPt3,,unknown,heavy_fermion,primary,1.0,True,False,True,True,False
arxiv:cond-mat/0209262,2002,cond-mat/0209262,Al,,unknown,elemental,primary,Al,,unknown,elemental,primary,1.0,True,False,True,True,True
arxiv:2102.12150,2021,2102.12150,KCa2Fe4As4F2,33.5,unknown,iron_based,primary,KCa2Fe4As4F2,33.5,unknown,iron_based,primary,1.0,True,True,True,True,True
arxiv:cond-mat/0212447,2002,cond-mat/0212447,YBa2Cu3O7-x,,unknown,cuprate,primary,YBa2Cu3O7-x,,unknown,cuprate,primary,1.0,True,False,True,True,True
arxiv:cond-mat/0212447,2002,cond-mat/0212447,Bi2Sr2CaCu2O8,,unknown,cuprate,cited,Bi2Sr2CaCu2O8,,unknown,cuprate,cited,1.0,True,False,True,True,True
arxiv:cond-mat/0311083,2003,cond-mat/0311083,YBa2Cu4O8,,ambient,cuprate,cited,YBa2Cu4O8,,unknown,cuprate,cited,1.0,True,False,False,True,True
arxiv:cond-mat/0606202,2006,cond-mat/0606202,Y1Ba2Cu3Ox,,unknown,cuprate,primary,Y1Ba2Cu3Ox,,unknown,cuprate,primary,1.0,True,False,True,True,True
arxiv:cond-mat/0606202,2006,cond-mat/0606202,Y1Ba2Cu3Ox,,unknown,cuprate,primary,Bi2Sr2CaCu2O8,,unknown,cuprate,cited,0.43478260869565216,False,False,True,True,False
arxiv:2005.08441,2020,2005.08441,,,unknown,,unknown,CeCoIn5,2.3,unknown,heavy_fermion,primary,0.0,False,False,True,False,False
arxiv:2511.02226,2025,2511.02226,FeSe,,unknown,iron_based,primary,FeSe,,unknown,iron_based,primary,1.0,True,False,True,True,True
arxiv:1905.04726,2019,1905.04726,Mo3P,5.5,unknown,conventional,primary,Mo3P,5.5,ambient,,primary,1.0,True,True,False,False,True
arxiv:1905.04726,2019,1905.04726,Mo3P,5.5,unknown,conventional,primary,Mo3P,5.5,ambient,,primary,1.0,True,True,False,False,True
arxiv:1905.04726,2019,1905.04726,Mo3P,5.5,unknown,conventional,primary,Mo3P,5.5,ambient,,primary,1.0,True,True,False,False,True
arxiv:1905.04726,2019,1905.04726,Mo3P,5.5,unknown,conventional,primary,Mo3P,5.5,ambient,,primary,1.0,True,True,False,False,True
arxiv:1012.1404,2010,1012.1404,FeTe0.5Se0.5,9.1,unknown,iron_based,primary,FeTe0.5Se0.5,9.1,unknown,chalcogenide,primary,1.0,True,True,True,False,True
arxiv:cond-mat/0509535,2005,cond-mat/0509535,,,unknown,,unknown,C,650.0,unknown,elemental,primary,0.0,False,False,True,False,False
arxiv:cond-mat/0509535,2005,cond-mat/0509535,,,unknown,,unknown,C,650.0,unknown,elemental,primary,0.0,False,False,True,False,False
arxiv:2511.18736,2025,2511.18736,Nb,,ambient,elemental,primary,Nb,,unknown,elemental,primary,1.0,True,False,False,True,True
arxiv:0910.2287,2009,0910.2287,CeRhIn5,2.3,high_pressure,heavy_fermion,primary,CeRhIn5,2.3,high_pressure,heavy_fermion,primary,1.0,True,True,True,True,True
arxiv:cond-mat/0610289,2006,cond-mat/0610289,YBa2Cu3O7-delta,93.5,unknown,cuprate,cited,YBa2Cu3O7-delta,93.5,unknown,cuprate,cited,1.0,True,True,True,True,True
arxiv:cond-mat/0610289,2006,cond-mat/0610289,YBa2Cu3O7-delta,93.5,unknown,cuprate,cited,YBa2Cu3O7-delta,62.0,unknown,cuprate,cited,1.0,True,False,True,True,True
arxiv:cond-mat/0610289,2006,cond-mat/0610289,YBa2Cu3O7-delta,93.5,unknown,cuprate,cited,YBa2Cu3O7-delta,41.5,unknown,cuprate,cited,1.0,True,False,True,True,True
arxiv:cond-mat/0610289,2006,cond-mat/0610289,YBa2Cu3O7-delta,93.5,unknown,cuprate,cited,YBa2Cu3O6.95,61.4,unknown,cuprate,cited,0.5925925925925926,False,False,True,True,True
arxiv:1012.3193,2010,1012.3193,Bi2Sr2-xRxCuOy,,unknown,cuprate,primary,Bi2Sr2-xLaxCuOy,,unknown,cuprate,primary,0.896551724137931,True,False,True,True,True
arxiv:1012.3193,2010,1012.3193,Bi2Sr2-xRxCuOy,,unknown,cuprate,primary,Bi2Sr2-xEuxCuOy,,unknown,cuprate,primary,0.896551724137931,True,False,True,True,True
arxiv:1012.3193,2010,1012.3193,Bi2Sr2-xRxCuOy,,unknown,cuprate,primary,Bi2Sr2CaCu2O8,86.0,unknown,cuprate,primary,0.6666666666666666,False,False,True,True,True
arxiv:0904.4337,2009,0904.4337,Ba1-xKxFe2As2,32.0,unknown,iron_based,primary,Ba1-xKxFe2As2,32.0,unknown,iron_based,primary,1.0,True,True,True,True,True
arxiv:1311.1199,2013,1311.1199,Ir0.95Pt0.05Te2,,unknown,chalcogenide,primary,Ir0.95Pt0.05Te2,,unknown,chalcogenide,primary,1.0,True,False,True,True,True
arxiv:0801.1014,2008,0801.1014,Bi2Sr2CaCu2O8+delta,65.0,unknown,cuprate,primary,Bi2Sr2CaCu2O8+d,65.0,unknown,cuprate,primary,0.8823529411764706,True,True,True,True,True
arxiv:0801.1014,2008,0801.1014,Bi2Sr2CaCu2O8+delta,65.0,unknown,cuprate,primary,Bi2Sr2CaCu2O8+d,86.0,unknown,cuprate,primary,0.8823529411764706,True,False,True,True,True
arxiv:cond-mat/9903453,1999,cond-mat/9903453,,,unknown,,unknown,La1.48Nd0.4Sr0.12CuO4,,unknown,cuprate,primary,0.0,False,False,True,False,False
arxiv:cond-mat/9903453,1999,cond-mat/9903453,,,unknown,,unknown,La1.88Sr0.12Cu0.98Zn0.02O4,,unknown,cuprate,primary,0.0,False,False,True,False,False
arxiv:1102.4767,2011,1102.4767,CaC6,11.5,ambient,conventional,primary,CaC6,11.5,unknown,conventional,primary,1.0,True,True,False,True,True
arxiv:1102.4767,2011,1102.4767,CaC6,11.5,ambient,conventional,primary,YbC6,6.5,unknown,conventional,cited,0.5,False,True,False,True,False
arxiv:1102.4767,2011,1102.4767,CaC6,11.5,ambient,conventional,primary,BaC6,,unknown,conventional,cited,0.75,False,False,False,True,False
arxiv:2307.07684,2023,2307.07684,"Ba2Ca5Cu6O12(F,O)2",69.0,unknown,cuprate,primary,"Ba2Ca5Cu6O12(F,O)2",69.0,unknown,cuprate,primary,1.0,True,True,True,True,True
arxiv:2307.07684,2023,2307.07684,"Ba2Ca5Cu6O12(F,O)2",69.0,unknown,cuprate,primary,"Ba2Ca5Cu6O12(F,O)2",69.0,unknown,cuprate,primary,1.0,True,True,True,True,True
arxiv:0810.2196,2008,0810.2196,Nb,8.7,unknown,elemental,primary,Nb,8.7,unknown,elemental,primary,1.0,True,True,True,True,True
arxiv:1704.07618,2017,1704.07618,MoS2,,unknown,chalcogenide,primary,MoS2,,unknown,chalcogenide,primary,1.0,True,False,True,True,True
arxiv:0911.3878,2009,0911.3878,,,unknown,,unknown,Ba(Fe1-xCox)2As2,,unknown,iron_based,primary,0.0,False,False,True,False,False
arxiv:2302.08188,2023,2302.08188,(Pb0.5Zn0.5)(Sr0.5La0.5)2CuOz,19.7,unknown,cuprate,primary,Pb0.5Cu0.5Sr0.5La0.5CuOz,25.0,unknown,cuprate,cited,0.8301886792452831,True,True,True,True,False
arxiv:2302.08188,2023,2302.08188,(Pb0.5Zn0.5)(Sr0.5La0.5)2CuOz,19.7,unknown,cuprate,primary,Pb0.5Zn0.5Sr0.5La0.5CuOz,19.7,unknown,cuprate,primary,0.9056603773584906,True,True,True,True,True
arxiv:2302.08188,2023,2302.08188,(Pb0.5Zn0.5)(Sr0.5La0.5)2CuOz,19.7,unknown,cuprate,primary,Pb0.5Zn0.5Sr0.5La0.5CuOz,19.7,unknown,cuprate,primary,0.9056603773584906,True,True,True,True,True
arxiv:cond-mat/0311564,2003,cond-mat/0311564,YBa2Cu3O7-d,91.0,ambient,cuprate,primary,YBa2Cu3O7-d,91.0,unknown,cuprate,primary,1.0,True,True,False,True,True
arxiv:cond-mat/0311564,2003,cond-mat/0311564,YBa1.5Sr0.5Cu3O7-d,90.35,ambient,cuprate,primary,YBa1.5Sr0.5Cu3O7-d,,unknown,cuprate,primary,1.0,True,False,False,True,True
arxiv:cond-mat/0311564,2003,cond-mat/0311564,YBaSrCu3O7-d,89.7,ambient,cuprate,primary,YBaSrCu3O7-d,,unknown,cuprate,primary,1.0,True,False,False,True,True
arxiv:cond-mat/0311564,2003,cond-mat/0311564,YBa2Cu3O7-d,91.0,ambient,cuprate,primary,YBa2Cu3O7-d,42.0,unknown,cuprate,primary,1.0,True,False,False,True,True
arxiv:cond-mat/0311564,2003,cond-mat/0311564,YBa1.5Sr0.5Cu3O7-d,90.35,ambient,cuprate,primary,YBa1.5Sr0.5Cu3O7-d,,unknown,cuprate,primary,1.0,True,False,False,True,True
arxiv:cond-mat/0311564,2003,cond-mat/0311564,YBaSrCu3O7-d,89.7,ambient,cuprate,primary,YBaSrCu3O7-d,,unknown,cuprate,primary,1.0,True,False,False,True,True
arxiv:cond-mat/0307725,2003,cond-mat/0307725,Bi2Sr2CaCu2O(8+d),92.0,unknown,cuprate,primary,Bi2Sr2CaCu2O8+d,92.0,unknown,cuprate,primary,0.9375,True,True,True,True,True
arxiv:cond-mat/0406095,2004,cond-mat/0406095,Bi2Sr2CaCu2O8,84.0,unknown,cuprate,cited,Bi2Sr2CaCu2O8,84.0,unknown,cuprate,cited,1.0,True,True,True,True,True
arxiv:1206.2891,2012,1206.2891,Ba(Fe1-xCox)2As2,,unknown,iron_based,primary,Ba(Fe0.966Co0.034)2As2,,unknown,iron_based,primary,0.631578947368421,False,False,True,True,True
arxiv:1206.2891,2012,1206.2891,Ba(Fe1-xCox)2As2,,unknown,iron_based,primary,Ba(Fe0.966Co0.034)2As2,,unknown,iron_based,primary,0.631578947368421,False,False,True,True,True
arxiv:1206.2891,2012,1206.2891,Ba(Fe1-xRhx)2As2,,unknown,iron_based,primary,Ba(Fe0.974Rh0.026)2As2,,unknown,iron_based,primary,0.631578947368421,False,False,True,True,True
arxiv:1006.3490,2010,1006.3490,Ba(Fe0.92Co0.08)2As2,24.0,unknown,iron_based,primary,Ba(Fe0.92Co0.08)2As2,24.0,unknown,iron_based,primary,1.0,True,True,True,True,True
arxiv:cond-mat/0602506,2006,cond-mat/0602506,MgB2,35.9,unknown,mgb2,primary,MgB2,35.9,unknown,mgb2,primary,1.0,True,True,True,True,True
arxiv:cond-mat/0602506,2006,cond-mat/0602506,MgB2,35.9,unknown,mgb2,primary,MgB2,24.3,unknown,mgb2,primary,1.0,True,False,True,True,True
arxiv:cond-mat/0602506,2006,cond-mat/0602506,MgB2,35.9,unknown,mgb2,primary,MgB2,12.2,unknown,mgb2,primary,1.0,True,False,True,True,True
arxiv:cond-mat/0602506,2006,cond-mat/0602506,MgB2,35.9,unknown,mgb2,primary,Mg0.95Al0.05B2,36.6,unknown,mgb2,primary,0.4444444444444444,False,True,True,True,True
arxiv:cond-mat/0602506,2006,cond-mat/0602506,MgB2,35.9,unknown,mgb2,primary,Mg0.90Al0.10B2,33.4,unknown,mgb2,primary,0.4444444444444444,False,True,True,True,True
arxiv:cond-mat/0602506,2006,cond-mat/0602506,MgB2,35.9,unknown,mgb2,primary,Mg0.80Al0.20B2,29.1,unknown,mgb2,primary,0.4444444444444444,False,True,True,True,True
arxiv:cond-mat/0602506,2006,cond-mat/0602506,MgB2,35.9,unknown,mgb2,primary,Mg0.70Al0.30B2,24.1,unknown,mgb2,primary,0.4444444444444444,False,False,True,True,True
arxiv:cond-mat/0004377,2000,cond-mat/0004377,InO,,unknown,chalcogenide,primary,InO,,unknown,conventional,primary,1.0,True,False,True,False,True
